Entry	Identifier	OmekaURL	Entry_Clean_Recon	EntriesID	EntriesIdentifier	SeeAlso	Comment	Column 1
Abterode	QGJ.v1.Loc.00000	https://undusting.org/jewish_sources/s/jewish_sources/item/16337	Abterode	94/1	QGJ.v1.A0003.I0043.E00116			Abterode 94/1
Adelsberg	QGJ.v1.Loc.00001	https://undusting.org/jewish_sources/s/jewish_sources/item/16338	Adelsberg	3196|3197|3198|3199|3200|4753	QGJ.v1.A0183.I0583.E03273|QGJ.v1.A0183.I0583.E03274|QGJ.v1.A0183.I0583.E03275|QGJ.v1.A0183.I0583.E03276|QGJ.v1.A0183.I0583.E03277|QGJ.v1.A0234.I0732.E04830			Adelsberg 3196-3200, 4753
Adelsheim	QGJ.v1.Loc.00002	https://undusting.org/jewish_sources/s/jewish_sources/item/16339	Adelsheim	4753	QGJ.v1.A0234.I0732.E04830			Adelsheim 4753
Adorf	QGJ.v1.Loc.00003	https://undusting.org/jewish_sources/s/jewish_sources/item/16340	Adorf	4355	QGJ.v1.A0199.I0654.E04432			Adorf 4355
Ahrenshoop	QGJ.v1.Loc.00004	https://undusting.org/jewish_sources/s/jewish_sources/item/16341	Ahrenshoop	478	QGJ.v1.A0028.I0093.E00520			Ahrenshoop 478
Aidorf	QGJ.v1.Loc.00005	https://undusting.org/jewish_sources/s/jewish_sources/item/16342	Aidorf	4753	QGJ.v1.A0234.I0732.E04830			Aidorf 4753
Aken	QGJ.v1.Loc.00006	https://undusting.org/jewish_sources/s/jewish_sources/item/16343	Aken	2128/2|2130|2131|2132|2133|2473	QGJ.v1.A0109.I0338.E02183|QGJ.v1.A0112.I0339.E02197|QGJ.v1.A0112.I0339.E02198|QGJ.v1.A0112.I0339.E02199|QGJ.v1.A0112.I0339.E02200|QGJ.v1.A0140.I0408.E02540			Aken 2128/2,2130-2133,2473
Albernau	QGJ.v1.Loc.00007	https://undusting.org/jewish_sources/s/jewish_sources/item/16344	Albernau	3064|3065|3066	QGJ.v1.A0179.I0564.E03141|QGJ.v1.A0179.I0564.E03142|QGJ.v1.A0179.I0564.E03143			Albernau 3064-3066
Albrechts	QGJ.v1.Loc.00008	https://undusting.org/jewish_sources/s/jewish_sources/item/16345	Albrechts	6229	QGJ.v1.A0239.I0831.E06310			Albrechts 6229
Alexandrowo	QGJ.v1.Loc.00009	https://undusting.org/jewish_sources/s/jewish_sources/item/16346	Alexandrowo	4264	QGJ.v1.A0196.I0643.E04341			Alexandrowo 4264
Allenstein	QGJ.v1.Loc.00010	https://undusting.org/jewish_sources/s/jewish_sources/item/16347	Allenstein	3/14|94/1|4753	QGJ.v1.A0002.E00024|QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0234.I0732.E04830			Allenstein 3/14,94/1,4753
Allersheim	QGJ.v1.Loc.00011	https://undusting.org/jewish_sources/s/jewish_sources/item/16348	Allersheim	4753	QGJ.v1.A0234.I0732.E04830			Allersheim 4753
Allstedt	QGJ.v1.Loc.00012	https://undusting.org/jewish_sources/s/jewish_sources/item/16349	Allstedt	4799|4902|5419	QGJ.v1.A0235.I0734.E04876|QGJ.v1.A0235.I0750.E04979|QGJ.v1.A0236.I0804.E05500			Allstedt 4799,4902,5419
Alsfeld	QGJ.v1.Loc.00013	https://undusting.org/jewish_sources/s/jewish_sources/item/16350	Alsfeld	7553	QGJ.v1.A0269.I0916.E07646			Alsfeld 7553
Alt-Landsberg	QGJ.v1.Loc.00014	https://undusting.org/jewish_sources/s/jewish_sources/item/16351	Alt-Landsberg	94/1|1229	QGJ.v1.A0003.I0043.E00116|QGJ.v1.A0055.I0176.E01277			Alt-Landsberg 94/1,1229
Altenberg	QGJ.v1.Loc.00015	https://undusting.org/jewish_sources/s/jewish_sources/item/16352	Altenberg	3224|3225	QGJ.v1.A0184.I0587.E03301|QGJ.v1.A0184.I0587.E03302			Altenberg 3224.3225
Altenbreitungen	QGJ.v1.Loc.00016	https://undusting.org/jewish_sources/s/jewish_sources/item/16353	Altenbreitungen	6527	QGJ.v1.A0239.I0836.E06608			Altenbreitungen 6527
