Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Adass Jisroel	QGJ.v1.Org.01534	https://undusting.org/jewish_sources/s/jewish_sources/item/17871	Adass Jisroel				32|40|110|111|134|142|1010|1743/3	QGJ.v1.A0003.I0033.E00053|QGJ.v1.A0003.I0035.E00062|QGJ.v1.A0005.I0044.E00136|QGJ.v1.A0005.I0044.E00137|QGJ.v1.A0005.I0044.E00160|QGJ.v1.A0005.I0044.E00168|QGJ.v1.A0040.I0151.E01052|QGJ.v1.A0094.I0287.E01797		organizations		Adass Jisroel 32,40,110, 111,134,142,1010,1743/3
AEG	QGJ.v1.Org.01535	https://undusting.org/jewish_sources/s/jewish_sources/item/17872	AEG				1743/2|2088	QGJ.v1.A0094.I0287.E01796|QGJ.v1.A0108.I0332.E02142		organizations		AEG 1743/2,2088
Carl Ahlefeld (Fa.), Ilmenau	QGJ.v1.Org.01536	https://undusting.org/jewish_sources/s/jewish_sources/item/17873	Carl Ahlefeld (Fa.), Ilmenau				7469	QGJ.v1.A0261.I0899.E07562		organizations		Carl Ahlefeld (Fa.), Ilmenau 7469
Akademie der Künste	QGJ.v1.Org.01537	https://undusting.org/jewish_sources/s/jewish_sources/item/17874	Akademie der Künste				1896|1897|1898|1899|1900|1901|1902|1903|1904|1905|1906|1907|1908|1909|1910|1911|1912|2093	QGJ.v1.A0103.I0316.E01950|QGJ.v1.A0103.I0316.E01951|QGJ.v1.A0103.I0316.E01952|QGJ.v1.A0103.I0316.E01953|QGJ.v1.A0103.I0316.E01954|QGJ.v1.A0103.I0316.E01955|QGJ.v1.A0103.I0316.E01956|QGJ.v1.A0103.I0316.E01957|QGJ.v1.A0103.I0316.E01958|QGJ.v1.A0103.I0316.E01959|QGJ.v1.A0103.I0316.E01960|QGJ.v1.A0103.I0316.E01961|QGJ.v1.A0103.I0316.E01962|QGJ.v1.A0103.I0316.E01963|QGJ.v1.A0103.I0316.E01964|QGJ.v1.A0103.I0316.E01965|QGJ.v1.A0103.I0316.E01966|QGJ.v1.A0108.I0332.E02147		organizations		Akademie der Künste 1896-1912,2093
Akademie der Wissenschaften der DDR	QGJ.v1.Org.01538	https://undusting.org/jewish_sources/s/jewish_sources/item/17875	Akademie der Wissenschaften der DDR				30	QGJ.v1.A0003.I0033.E00052		organizations		Akademie der Wissenschaften der DDR 30
Akademisch-Zionistischer Stammtisch	QGJ.v1.Org.01539	https://undusting.org/jewish_sources/s/jewish_sources/item/17876	Akademisch-Zionistischer Stammtisch				1056	QGJ.v1.A0042.I0161.E01098		organizations		Akademisch-Zionistischer Stammtisch 1056
Aktion Sühnezeichen	QGJ.v1.Org.01540	https://undusting.org/jewish_sources/s/jewish_sources/item/17877	Aktion Sühnezeichen				131	QGJ.v1.A0005.I0044.E00157		organizations		Aktion Sühnezeichen 131
Aktionskomitee zur Abwehr der jüdischen GreuelundBoykotthetze	QGJ.v1.Org.01541	https://undusting.org/jewish_sources/s/jewish_sources/item/17878	Aktionskomitee zur Abwehr der jüdischen GreuelundBoykotthetze				3171	QGJ.v1.A0183.I0583.E03248		organizations		Aktionskomitee zur Abwehr der jüdischen GreuelundBoykotthetze 3171
Alldeutscher Verband	QGJ.v1.Org.01542	https://undusting.org/jewish_sources/s/jewish_sources/item/17879	Alldeutscher Verband				1/2|1/6	QGJ.v1.A0000.E00002|QGJ.v1.A0000.E00006		organizations		Alldeutscher Verband 1/2,1/6
Allgemeine Israelitische Vereinigung	QGJ.v1.Org.01543	https://undusting.org/jewish_sources/s/jewish_sources/item/17880	Allgemeine Israelitische Vereinigung						Alliance IsraéliteUniverselle	organizations		Allgemeine Israelitische Vereinigung
Allgemeine Waisenversorgungsanstalt (LandrabbinatStadtlengsfeld und Eisenach)	QGJ.v1.Org.01544	https://undusting.org/jewish_sources/s/jewish_sources/item/17881	Allgemeine Waisenversorgungsanstalt (LandrabbinatStadtlengsfeld und Eisenach)				5086|5090	QGJ.v1.A0235.I0762.E05163|QGJ.v1.A0235.I0762.E05167		organizations		Allgemeine Waisenversorgungsanstalt (LandrabbinatStadtlengsfeld und Eisenach) 5086, 5090
Allgemeiner Armenverband gegen die Wanderbettelei in Mitteldeutschland	QGJ.v1.Org.01545	https://undusting.org/jewish_sources/s/jewish_sources/item/17882	Allgemeiner Armenverband gegen die Wanderbettelei in Mitteldeutschland				5083	QGJ.v1.A0235.I0762.E05160		organizations		Allgemeiner Armenverband gegen die Wanderbettelei in Mitteldeutschland 5083
Allgemeiner Deutscher Rabbinerverband	QGJ.v1.Org.01546	https://undusting.org/jewish_sources/s/jewish_sources/item/17883	Allgemeiner Deutscher Rabbinerverband				94/3	QGJ.v1.A0003.I0043.E00118		organizations		Allgemeiner Deutscher Rabbinerverband 94/3
Alliance Israélite Universelle	QGJ.v1.Org.01547	https://undusting.org/jewish_sources/s/jewish_sources/item/17884	Alliance Israélite Universelle				5082	QGJ.v1.A0235.I0762.E05159		organizations		Alliance Israélite Universelle 5082
Altmann Kommanditgesellschaft	QGJ.v1.Org.01548	https://undusting.org/jewish_sources/s/jewish_sources/item/17885	Altmann Kommanditgesellschaft				3010|3024	QGJ.v1.A0176.I0543.E03087|QGJ.v1.A0176.I0549.E03101		organizations		Altmann Kommanditgesellschaft 3010,3024
American Jewish Committee	QGJ.v1.Org.01549	https://undusting.org/jewish_sources/s/jewish_sources/item/17886	American Jewish Committee				115	QGJ.v1.A0005.I0044.E00141		organizations		American Jewish Committee 115
Arbeiter-Bildungsverein, Gera	QGJ.v1.Org.01550	https://undusting.org/jewish_sources/s/jewish_sources/item/17887	Arbeiter-Bildungsverein, Gera				7365	QGJ.v1.A0255.I0891.E07458		organizations		Arbeiter-Bildungsverein, Gera 7365
Arbeiter- und Soldatenräte Groß-Berlins	QGJ.v1.Org.01551	https://undusting.org/jewish_sources/s/jewish_sources/item/17888	Arbeiter- und Soldatenräte Groß-Berlins				1/2	QGJ.v1.A0000.E00002		organizations		Arbeiter- und Soldatenräte Groß-Berlins 1/2
