,extracted_text,str_LEN,names,numbers
21,"Aachen 1889,6150",16,Aachen ,1889|6150
22,Adelsberg 3326,14,Adelsberg ,3326
23,Adlershof 1211,14,Adlershof ,1211
24,Afrika 6178,11,Afrika ,6178
25,Ahlden 1610,11,Ahlden ,1610
26,Ahlfeld 3177,12,Ahlfeld ,3177
27,"Aken 1981,3496,3509",19,Aken ,1981|3496|3509
28,Albendorf an der Werra 1559,27,Albendorf an der Werra ,1559
29,Algier 1638,11,Algier ,1638
30,Alickendorf 1482,16,Alickendorf ,1482
31,Allenberg 3929,14,Allenberg ,3929
32,Alienburg 3937,14,Alienburg ,3937
33,"Allenstein 434, 3936",20,Allenstein ,434|3936
34,Alpen 3572,10,Alpen ,3572
35,"Alsleben 3497,3545,5583 s. a. Groß",34,Alsleben ,3497|3545|5583
36,Alsleben u. Klein Alsleben,26,Alsleben u. Klein Alsleben,
37,Alt Festenberg 3265,19,Alt Festenberg ,3265
38,Alt Lobitz 547,14,Alt Lobitz ,547
39,Alt Stettin 1224,16,Alt Stettin ,1224
40,"Alt Strelitz 1653, 3383",23,Alt Strelitz ,1653|3383
41,Alt-Breisach 12,15,Alt-Breisach ,12
42,"Altena 1603,2960,2965,2982,2987,",32,Altena ,1603|2960|2965|2982|2987
43,"3004,3018, 3642",15,,3004|3018|3642
44,"Altlandsberg 1249,1824,2106,2557,",33,Altlandsberg ,1249|1824|2106|2557
45,"2656,2719, 3337",15,,2656|2719|3337
46,"Altmark 1240, 1960, 2001, 2002,",31,Altmark ,1240|1960|2001|2002
47,"2049,2054,2058,3408,3551-3555",29,,2049|2054|2058|3408|3551|3555
48,"Altona 555, 1060, 1381, 1390, 1502,",35,Altona ,555|1060|1381|1390|1502
49,"1507, 1837, 2109, 2160, 2877,",29,,1507|1837|2109|2160|2877
50,"2936, 2943, 3010, 3325, 3330,",29,,2936|2943|3010|3325|3330
51,"3402, 3408, 3410, 3460, 3471,",29,,3402|3408|3410|3460|3471
52,"3492,6616",9,,3492|6616
54,"Altschottland 20, 326,327,365, 367,",35,Altschottland ,20|326|327|365|367
55,"371, 410, 435, 436, 457, 521, 580,",34,,371|410|435|436|457|521|580
56,"1889, 2086, 2862, 3243, 3719,",29,,1889|2086|2862|3243|3719
57,"3738, 3770, 3803, 3808, 3812,",29,,3738|3770|3803|3808|3812
58,"3819, 3830, 3831, 3836, 3852,",29,,3819|3830|3831|3836|3852
59,"3864, 3883, 3902, 3934, 4144,",29,,3864|3883|3902|3934|4144
60,"4193, 4198, 4201, 4258, 4260,",29,,4193|4198|4201|4258|4260
61,"4267, 4270, 4271, 4274, 4276,",29,,4267|4270|4271|4274|4276
62,"4282, 4288, 4289, 4294, 4303,",29,,4282|4288|4289|4294|4303
63,"4304, 4320, 4322, 4339, 4340,",29,,4304|4320|4322|4339|4340
64,"4343, 5573, 5757, 5873, 5956,",29,,4343|5573|5757|5873|5956
65,"6024,6165, 6556",15,,6024|6165|6556
66,Amerika 5938,12,Amerika ,5938
67,Amersfoort 3086,15,Amersfoort ,3086
68,Amiens 1394,11,Amiens ,1394
69,"Amsterdam 14, 71, .77, 99, 1064,",32,Amsterdam ,14|71|77|99|1064
70,"1125, 1128, 1129, 1191, 1196,",29,,1125|1128|1129|1191|1196
71,"1204, 1238, 1258, 1274, 1280,",29,,1204|1238|1258|1274|1280
72,"1310, 1384, 1390, 1409, 1415,",29,,1310|1384|1390|1409|1415
73,"1582, 1705, 2015, 2045, 2082,",29,,1582|1705|2015|2045|2082
74,"2098, 2220, 2221, 2423, 2678,",29,,2098|2220|2221|2423|2678
75,"2847, 2861, 2885, 2887, 2934,",29,,2847|2861|2885|2887|2934
76,"2935, 2938, 2943, 2959, 2969,",29,,2935|2938|2943|2959|2969
77,"3000, 3016-3018, 3026, 3054,",28,,3000|3016|3018|3026|3054
78,"3070, 3092, 3097, 3170, 3252,",29,,3070|3092|3097|3170|3252
79,"3310, 3337, 3382, 3416, 3449,",29,,3310|3337|3382|3416|3449
80,"3468, 3486, 3568, 3572, 3778,",29,,3468|3486|3568|3572|3778
81,"3791, 3857, 4051, 4053, 4057,",29,,3791|3857|4051|4053|4057
82,"5609, 5717, 5803, 6119, 6179,",29,,5609|5717|5803|6119|6179
83,"6185,6191,6710",14,,6185|6191|6710
84,"Angermünde 1361, 1386, 1396,",28,Angermünde ,1361|1386|1396
85,"1766, 2178, 2179, 2698, 2742,",29,,1766|2178|2179|2698|2742
86,"2751, 3328, 3335, 3385, 5525 s. a.",34,,2751|3328|3335|3385|5525
87,Neu Angermünde,14,Neu Angermünde,
88,Anhalt (Dorf) 2965,18,Anhalt (Dorf) ,2965
89,"Anhalt 1040,2663,3506,3507,3532",31,Anhalt ,1040|2663|3506|3507|3532
90,"Anhalt-Bernburg 1170, 1458-1465,",32,Anhalt-Bernburg ,1170|1458|1465
91,"1544,2040,2907,2919,2930",24,,1544|2040|2907|2919|2930
92,"Anhalt-Dessau 11,1227,1229,1231,",32,Anhalt-Dessau ,11|1227|1229|1231
93,"1388, 1391, 1472-1484, 1943,",28,,1388|1391|1472|1484|1943
94,"1966, 1998, 2069, 2902, 2903,",29,,1966|1998|2069|2902|2903
95,"3387,3497, 3531,5788",20,,3387|3497|3531|5788
96,Anhalt-Hoym 2906,16,Anhalt-Hoym ,2906
97,"Anhalt-Köthen 1466-1469, 3161,",30,Anhalt-Köthen ,1466|1469|3161
98,4488,4,,4488
99,"Anhalt-Zerbst 1470, 1471",24,Anhalt-Zerbst ,1470|1471
100,Anröchte 3010,13,Anröchte ,3010
101,"Ansbach (Markgraftum) 1029,1549,",32,Ansbach (Markgraftum) ,1029|1549
102,"1587, 2493, 3172-3217, 3631,",28,,1587|2493|3172|3217|3631
103,"6070-6117,6190,6465,6560,6693",29,,6070|6117|6190|6465|6560|6693
104,"Ansbach (Stadt) 1029, 1388, 1416,",33,Ansbach (Stadt) ,1029|1388|1416
105,"1525, 1546, 1926, 1965, 1976,",29,,1525|1546|1926|1965|1976
106,"2278, 2934, 3174, 3186, 3188,",29,,2278|2934|3174|3186|3188
107,"3198, 3205, 3206, 3211, 3212,",29,,3198|3205|3206|3211|3212
108,"3214, 3216, 3217, 5730, 6087,",29,,3214|3216|3217|5730|6087
109,"6091,6093, 6095,6098,6108",25,,6091|6093|6095|6098|6108
110,"Antwerpen 1266, 1269, 1322, 1330,",33,Antwerpen ,1266|1269|1322|1330
111,1336,4,,1336
112,Apolda 5871,11,Apolda ,5871
113,Arendsee 3386,13,Arendsee ,3386
114,Armenien 975,12,Armenien ,975
115,"Arneburg 2098,3551,3553",23,Arneburg ,2098|3551|3553
116,Arnheim 2938,12,Arnheim ,2938
118,Arnsberg 2949,13,Arnsberg ,2949
