Identifier	Entry	Omeka	Entry_Clean_Recon	Wikidata	TextInBrackets	RelatedLocations	spatial coverage	NumberOfEntries	EntriesIdentifier	StartYear	endYear	OmekaID	SeeAlso	File	Comment	Column 1	Location_in_index
QGJ.v1.Per.02160	Aaron (Mühlhausen)	https://undusting.org/jewish_sources/s/jewish_sources/item/11592	Aaron		Mühlhausen	Mühlhausen|Thüringen	17230|17701	1	QGJ.v1.A0269.I0916.E07649			11101		persons		Aaron (Mühlhausen) 7556	Mühlhausen
QGJ.v1.Per.02161	Aaron (Saalfeld)	https://undusting.org/jewish_sources/s/jewish_sources/item/11593	Aaron		Saalfeld	Alsfeld|Mühlhausen|Saalfeld|Thüringen	16350|17230|17508|17701	1	QGJ.v1.A0269.I0916.E07646			11098		persons		Aaron (Saalfeld) 7553	Saalfeld
QGJ.v1.Per.02162	Aaron, Abraham	https://undusting.org/jewish_sources/s/jewish_sources/item/11594	Abraham Aaron	Q20752017		Altenburg|Thüringen	16354|17701	1	QGJ.v1.A0236.I0802.E05493			8945		persons		Aaron, Abraham 5416	
QGJ.v1.Per.02163	Aaron, Coppel	https://undusting.org/jewish_sources/s/jewish_sources/item/11595	Aaron, Coppel			Mehlis|Sachsen-Gotha|Schwarza|Thüringen|Zella-Mehlis	17194|17517|17583|17701|17854	3	QGJ.v1.A0239.I0831.E06237|QGJ.v1.A0239.I0831.E06320|QGJ.v1.A0239.I0831.E06535	1828	1828	9689|9772|9987		persons		Aaron, Coppel 6156,6239, 6454	
QGJ.v1.Per.02164	Aaron, Cosmann	https://undusting.org/jewish_sources/s/jewish_sources/item/11596	Aaron, Cosmann			Eckloffstein|Hildburghausen|Thüringen	16643|16934|17701	1	QGJ.v1.A0239.I0835.E06574			10026		persons		Aaron, Cosmann 6493	
QGJ.v1.Per.02165	Aaron, David	https://undusting.org/jewish_sources/s/jewish_sources/item/11597	Aaron, David			Burgkunstadt|Oberlauringen|Schwarza|Thüringen	16546|17326|17583|17701	1	QGJ.v1.A0239.I0831.E06172			9624		persons		Aaron, David 6091	
QGJ.v1.Per.02166	Aaron, Hirsch	https://undusting.org/jewish_sources/s/jewish_sources/item/11598	Aaron, Hirsch			Angelroda|Benshausen|Ebertshausen|Frankfurt/Main|Henneberg-Schleusingen|Mehlis|Münchweiler|Rohr|Schwarza|Steinbach|Thüringen	16369|16446|16640|16718|16916|17194|17233|17482|17583|17647|17701	18	QGJ.v1.A0239.I0831.E05728|QGJ.v1.A0239.I0831.E05761|QGJ.v1.A0239.I0831.E05788|QGJ.v1.A0239.I0831.E05826|QGJ.v1.A0239.I0831.E05880|QGJ.v1.A0239.I0831.E05950|QGJ.v1.A0239.I0831.E05957|QGJ.v1.A0239.I0831.E05982|QGJ.v1.A0239.I0831.E05988|QGJ.v1.A0239.I0831.E06002|QGJ.v1.A0239.I0831.E06004|QGJ.v1.A0239.I0831.E06005|QGJ.v1.A0239.I0831.E06006|QGJ.v1.A0239.I0831.E06007|QGJ.v1.A0239.I0831.E06008|QGJ.v1.A0239.I0831.E06125|QGJ.v1.A0239.I0831.E06321|QGJ.v1.A0239.I0831.E06448	1785	1828	9180|9213|9240|9278|9332|9402|9409|9434|9440|9454|9456|9457|9458|9459|9460|9577|9773|9900		persons		Aaron, Hirsch 5647, 5680, 5707, 5745, 5799, 5869, 5876, 5901, 5907, 5921, 5923, 5924-5927, 6044,6240,6367	
QGJ.v1.Per.02167	Aaron, Israel	https://undusting.org/jewish_sources/s/jewish_sources/item/11599	Aaron, Israel			Schwarza|Thüringen|Viernau	17583|17701|17746	1	QGJ.v1.A0239.I0831.E05771			9223		persons		Aaron, Israel 5690	
QGJ.v1.Per.02168	Aaron, Jacob	https://undusting.org/jewish_sources/s/jewish_sources/item/11600	Aaron, Jacob			Mecklenburg-Vorpommern|Schwerin	17192|17599	1	QGJ.v1.A0031.I0110.E00645			4097		persons		Aaron, Jacob 603	
QGJ.v1.Per.02169	Aaron, Jakob	https://undusting.org/jewish_sources/s/jewish_sources/item/11601	Aaron, Jakob			Heinrichs|Schwarza|Thüringen	16904|17583|17701	1	QGJ.v1.A0239.I0831.E06295	1827	1827	9747		persons		Aaron, Jakob 6214	
